clean_text,label
barang sesuai pesanan dan cepat sampai,POS
barang bagus harga murah,POS
paket rapi mantap cepat sampe ke tujuan,POS
ya saya puas dgn barangnya,POS
responya luar biasa b mantap,POS
seller top pengiriman cepat barang oke,POS
pengiriman cepat seller top,POS
produk sesuai dengan spec di web dan respon seller sangat cepat thankyou,POS
respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjual thx gan,POS
barang mantap pelayanan cepat,POS
sip sesuai pic dscrbs cuma blum dicoba,POS
sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,NET
barang sesuai deskripsi respon dan proses cepat terima kasih,POS
mantap,NET
super,NET
jos pokok e bisa buat langganan,NET
berfungsi dengan baik normal,POS
cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual anda dapat melakukan langkah langkah berikut ini,NET
barang sesuai dengan deskripsi pengiriman cepat tidak pake lama barang bagus mantap dahh pokoknya thanks gan,POS
sesuai dengan deskripsi,POS
bagus packing aman pake bublewrap ndak ada yang patah,NET
barang sesuai deskripsi,POS
cukupp,NET
barang sudah sampai sesuai pesanan,POS
thanks,NET
barang bagus sesuai info fast response,POS
barang ok pengriman cepat,POS
barang sudah sy terima gan thanks,NET
paket telah diterima baik terima kasih,POS
barang bagus tidak kecewa tapi kurang banyak nanti order lagi dah,POS
barang sudah di terima terima kasih,NET
barang sudah diterima,NET
sip udah sampe beberapa menit yg lalu oke sesuai pesanan dan gambar trimakasih kerjasamanya,POS
sesuai deskripsi barangnya,POS
produk sesuai pesanan tp blm dcoba,POS
proses cepat dan mantap,POS
sesuai deskripsi barangnya,POS
bagus sesuai dgn deskripsi thnks,POS
produk sesuai gambar dan deskripsi produknya bagus dan harganya jg bagus rekomendasi produk,POS
seller is good produknya mantap 5 stars ya,POS
produk bagus sesuai deskripsi packing rapi pengiriman cepat hanya kurirnya yg agak telat thanks,POS
mahmurah mantap barang sdh sampe thanks sukses selalu,POS
produk diterima utuh tersegel semoga awet,NET
sesuai order pengiriman cepat respon cepat,POS
respon dan proses dr penjual cepat barang sdh diterima stlh 2 hari kualitas barang bagus rekomendasi seller thanks,POS
mantap sesuai deskripsi trimakasih semoga barokah jualannya,POS
makasih gan barang sesuai,POS
pengiriman cepat fast respon barang sesuai trims,POS
produknya bagus berkualitas dan berfungsi dg baik,POS
barang diterima dengan baik lengkap,POS
great product great seller,NET
steplesnya sedikit lebih kecil dari staples khusu mollar saat ditembakan keluar 2 dan jadi menumpuk yang keluar rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar,NET
sesuai dengan pesanan,POS
produk berfungsi dgn baik,POS
produk sesuai dengan deskripsi tapi belum dicoba,POS
barang sesuai diskripsi dan layanan cepat,POS
sudah diterima terima kasih,NET
pesanan engga sesuai dengan yang di gambar,NEG
sudah diterima dengan baik dan bisa di pakai,POS
packing rapi dan respon cepat recommended,POS
barang sudah diterima dengan baik thanks,POS
barang bagus kualitas sesuai harga,POS
terima kasih,NET
pengiriman sangat cepat barang sesuai iklan berfungsi baik,POS
kualitas bagus sesuai dengan yang ditawarkan respons cepat,POS
sesuai yg diharapkan terimakasih,POS
barangnya bagus pelayanan toko ini semuanya sangat memuaskan recomend,POS
sudah diterima,NET
pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor,NEG
produk sesuai deskripsi packing rapi rekomended,POS
ok lah sesuai denggan harga,NET
bukan merk kenmaster ternyata,NET
terimakasih barang sudah sampai,NET
bagus pengiriman cukup cepat,POS
sip,NET
barang sudah sampai makasih,NET
terimakasih barangnya udah sampai,NET
fast respon dan terbaik,NET
makasih barang sudah sampai,NET
bagus top pengiriman cepat,POS
thanks,NET
merk beda tapi gpp yg penting ukran sama,NET
lihat bintangnya aja dah,NET
bagus,POS
barang sudah diterima ukuran sesuai deskripsi hanya mereknya beda dengan yang dikirim tetapi tidak masalah yang penting berfungsi dengan baik,POS
barang sudah sampai tks,NET
bagus terimakasih,POS
